18:10066693-10103114	.10066625-10103129.vcf.VMV1
18:10099825-10117607	.10099812-10117679.vcf.VMV1
18:10114451-10140981	.10114437-10141013.vcf.VMV1
18:10136647-10157138	.10136624-10157200.vcf.VMV1
18:10154589-10186703	.10154471-10186718.vcf.VMV1
18:10182382-10198721	.10182373-10198730.vcf.VMV1
18:10198168-10398595	.10198110-10398620.vcf.VMV1
18:1038633-1199129	.1038578-1575203.m14.1_1038633-1199169.VMV1
18:1199249-1575201	.1038578-1575203.m14.2_1199169-1575201.VMV1
18:10398280-10669507	.10398025-10669657.vcf.VMV1
18:10667370-10767571	.10667366-11052169.m190.1_10667370-10767609.VMV1
18:10767669-11052115	.10667366-11052169.m190.2_10767609-11052115.VMV1
18:11049733-11077146	.11049717-11077217.vcf.VMV1
18:11074577-11236928	.11074492-11236931.vcf.VMV1
18:11227409-11313042	.11227367-11313144.vcf.VMV1
18:11312704-11365074	.11312629-11365123.vcf.VMV1
18:11355842-11578474	.11355815-11578636.vcf.VMV1
18:11577737-11877541	.11577553-11877554.vcf.VMV1
18:11873658-11884214	.11873615-11884231.vcf.VMV1
18:11881470-11906202	.11881400-11906265.vcf.VMV1
18:11905184-12025499	.11905109-12025687.vcf.VMV1
18:12024368-12268928	.12024361-13284265.m210.1_12024368-12268951.VMV1
18:12268975-12584805	.12024361-13284265.m210.3_12268975-12584805.VMV1
18:12475718-12738255	.12024361-13284265.m210.3_12475718-12738255.VMV1
18:12738350-12924555	.12024361-13284265.m210.4_12738292-12924667.VMV1
18:12924752-13284250	.12024361-13284265.m210.5_12924667-13284250.VMV1
18:13283879-13375907	.13283873-13376016.vcf.VMV1
18:13374911-13424453	.13374850-13424517.vcf.VMV1
18:13418880-13451111	.13418852-13451205.vcf.VMV1
18:13443198-13547136	.13442924-13547179.vcf.VMV1
18:13544802-13573135	.13544790-13573177.vcf.VMV1
18:13571784-13878172	.13571784-14187167.m222.1_13571784-13878192.VMV1
18:13878304-14186989	.13571784-14187167.m222.2_13878192-14186989.VMV1
18:14186389-14360455	.14186383-14360486.vcf.VMV1
18:14357900-14437657	.14357872-14437702.vcf.VMV1
18:14435747-14935798	.14435712-19778246.m228.1_14435747-14935849.VMV1
18:14935915-15029456	.14435712-19778246.m228.2_14935849-15029666.VMV1
18:15029893-15202193	.14435712-19778246.m228.3_15029666-15202193.VMV1
18:15202193-18653980	.14435712-19778246.m228.4_15202193-18653980.VMV1
18:15403666-19115520	.14435712-19778246.m228.4_15403666-19115520.VMV1
18:18962158-19486084	.14435712-19778246.m228.4_18962158-19486084.VMV1
18:19486098-19778233	.14435712-19778246.m228.4_19486091-19778233.VMV1
18:1574665-1943430	.1574566-1943492.vcf.VMV1
18:1942562-2037380	.1942490-2037389.vcf.VMV1
18:19775211-19914865	.19775155-19914915.vcf.VMV1
18:19914606-19999749	.19914606-19999751.vcf.VMV1
18:19993914-20009603	.19993719-20009647.vcf.VMV1
18:20007311-20138473	.20007286-21625744.m236.1_20007311-20138487.VMV1
18:20138489-20291082	.20007286-21625744.m236.2_20138487-20291116.VMV1
18:20291163-20648795	.20007286-21625744.m236.3_20291116-20648954.VMV1
18:20649077-20838942	.20007286-21625744.m236.4_20648954-20838959.VMV1
18:20839000-21201362	.20007286-21625744.m236.5_20838959-21201635.VMV1
18:21202075-21625698	.20007286-21625744.m236.5_21201635-21625698.VMV1
18:2035557-2183533	.2035511-2183552.vcf.VMV1
18:21624225-21802527	.21624188-21802656.vcf.VMV1
18:21799704-21972722	.21799630-21972830.vcf.VMV1
18:2182258-2209867	.2182181-2209883.vcf.VMV1
18:21970838-22134812	.21970809-22134833.vcf.VMV1
18:2208417-2238967	.2208379-2239006.vcf.VMV1
18:22130748-22476093	.22130657-22749942.m244.1_22130748-22476094.VMV1
18:22476110-22749837	.22130657-22749942.m244.2_22476094-22749837.VMV1
18:2233833-2279325	.2233745-2279381.vcf.VMV1
18:22747479-22959671	.22747411-22959705.vcf.VMV1
18:2278687-2334443	.2278660-2875343.m28.1_2278687-2334568.VMV1
18:2334668-2451663	.2278660-2875343.m28.2_2334568-2451701.VMV1
18:2451730-2481948	.2278660-2875343.m28.3_2451701-2481979.VMV1
18:2482021-2875255	.2278660-2875343.m28.4_2481979-2875255.VMV1
18:22956749-23000740	.22956706-23000770.vcf.VMV1
18:22999711-23213847	.22999678-23213987.vcf.VMV1
18:23212260-23348876	.23212241-24096308.m252.1_23212260-23349286.VMV1
18:23349334-23667425	.23212241-24096308.m252.2_23349334-23667425.VMV1
18:23562872-24013770	.23212241-24096308.m252.2_23562872-24013770.VMV1
18:23893624-24065539	.23212241-24096308.m252.2_23893624-24065539.VMV1
18:24065601-24096229	.23212241-24096308.m252.2_24065570-24096229.VMV1
18:24093429-24341499	.24093418-24341517.vcf.VMV1
18:24340061-24452918	.24340026-24977854.m256.1_24340061-24452981.VMV1
18:24453049-24627236	.24340026-24977854.m256.2_24452981-24627282.VMV1
18:24627288-24977815	.24340026-24977854.m256.3_24627282-24977815.VMV1
18:24973662-25148525	.24973596-25148573.vcf.VMV1
18:25146842-25302647	.25146841-25302669.vcf.VMV1
18:25301774-25529350	.25301729-25928948.m262.1_25301774-25529493.VMV1
18:25529534-25928922	.25301729-25928948.m262.3_25529493-25928922.VMV1
18:25927929-26293955	.25927888-26877638.m264_25927929-26293955.VMV1
18:26179879-26639446	.25927888-26877638.m264_26179879-26639446.VMV1
18:26529773-26877497	.25927888-26877638.m264_26529773-26877497.VMV1
18:26875438-27233834	.26875380-27233860.vcf.VMV1
18:27233076-27503336	.27233009-28566284.m268.1_27233076-27503363.VMV1
18:27503380-27823225	.27233009-28566284.m268.2_27503363-27823310.VMV1
18:27823322-28120363	.27233009-28566284.m268.2_27823322-28120363.VMV1
18:28025328-28430073	.27233009-28566284.m268.2_28025328-28430073.VMV1
18:28316949-28566147	.27233009-28566284.m268.2_28316949-28566147.VMV1
18:28561221-28574754	.28561170-28575049.vcf.VMV1
18:28571988-28787976	.28571972-28788060.vcf.VMV1
18:2873939-2900314	.2873919-2900462.vcf.VMV1
18:28786289-28925515	.28786229-30264938.m274.1_28786289-28925724.VMV1
18:28925831-29067115	.28786229-30264938.m274.2_28925724-29067323.VMV1
18:29067354-29138374	.28786229-30264938.m274.3_29067323-29138386.VMV1
18:29138447-29311479	.28786229-30264938.m274.4_29138386-29311488.VMV1
18:29311562-29564729	.28786229-30264938.m274.5_29311488-29564775.VMV1
18:29564891-29826140	.28786229-30264938.m274.6_29564775-29826263.VMV1
18:29826274-30264880	.28786229-30264938.m274.7_29826263-30264880.VMV1
18:2889331-2907301	.2889312-2907349.vcf.VMV1
18:2902610-3057416	.2902608-3057483.vcf.VMV1
18:30262206-30321734	.30262176-30321743.vcf.VMV1
18:30321383-30699248	.30321311-31425390.m278.1_30321383-30699248.VMV1
18:30574734-30970171	.30321311-31425390.m278.1_30574734-30970171.VMV1
18:30970232-31425390	.30321311-31425390.m278.2_30970205-31425390.VMV1
18:3056946-3137160	.3056843-3137163.vcf.VMV1
18:3135617-3350276	.3135578-3350304.vcf.VMV1
18:31424931-31782645	.31424840-32076628.m280.1_31424931-31782732.VMV1
18:31782763-32076477	.31424840-32076628.m280.1_31782732-32076477.VMV1
18:32074055-32458263	.32074040-32985147.m282.1_32074055-32458272.VMV1
18:32458372-32610557	.32074040-32985147.m282.2_32458272-32610592.VMV1
18:32610665-32984916	.32074040-32985147.m282.2_32610592-32984916.VMV1
18:32981303-33022900	.32981280-33022904.vcf.VMV1
18:33019299-33314123	.33019262-33795383.m286.1_33019299-33314159.VMV1
18:33314161-33613796	.33019262-33795383.m286.1_33314161-33613796.VMV1
18:33498564-33795355	.33019262-33795383.m286.1_33498564-33795355.VMV1
18:3349745-3361925	.3349740-3361971.vcf.VMV1
18:3360473-3413441	.3360458-3413460.vcf.VMV1
18:33793953-33862904	.33793924-33862910.vcf.VMV1
18:33859599-33999834	.33859597-33999973.vcf.VMV1
18:33998747-34184982	.33998613-34185053.vcf.VMV1
18:3411163-3425381	.3411128-3425494.vcf.VMV1
18:34183237-34554318	.34183087-35076027.m294.1_34183237-34554318.VMV1
18:34415833-34862640	.34183087-35076027.m294.1_34415833-34862640.VMV1
18:34862879-35075963	.34183087-35076027.m294.2_34862766-35075963.VMV1
18:3422974-3448855	.3422955-3448870.vcf.VMV1
18:3447384-3502813	.3447245-3503088.vcf.VMV1
18:3496031-3524352	.3495979-3524356.vcf.VMV1
18:349949-497643	.349916-497648.vcf.VMV1
18:35074275-35419197	.35074242-37686174.m296.1_35074275-35419197.VMV1
18:35296052-35736430	.35074242-37686174.m296.1_35296052-35736430.VMV1
18:35634035-35891232	.35074242-37686174.m296.1_35634035-35891232.VMV1
18:35891289-35947796	.35074242-37686174.m296.2_35891282-35947922.VMV1
18:35947947-36057609	.35074242-37686174.m296.3_35947922-36057631.VMV1
18:36057677-36388131	.35074242-37686174.m296.5_36057677-36388131.VMV1
18:36264635-36733190	.35074242-37686174.m296.5_36264635-36733190.VMV1
18:36618288-36979326	.35074242-37686174.m296.5_36618288-36979326.VMV1
18:36979358-37374404	.35074242-37686174.m296.6_36979358-37374404.VMV1
18:37236779-37624438	.35074242-37686174.m296.6_37236779-37624438.VMV1
18:37624507-37686090	.35074242-37686174.m296.6_37624501-37686090.VMV1
18:3521343-3543153	.3521332-3543220.vcf.VMV1
18:3539234-3594860	.3539185-3594864.vcf.VMV1
18:3591587-3613285	.3591448-3613308.vcf.VMV1
18:3611527-3630488	.3611510-3630501.vcf.VMV1
18:3629243-3727848	.3629229-3727889.vcf.VMV1
18:3725450-3770670	.3725327-3770828.vcf.VMV1
18:37683525-37800781	.37683397-39416158.m298.1_37683525-37800966.VMV1
18:37800990-37939807	.37683397-39416158.m298.2_37800966-37939843.VMV1
18:37939979-38015970	.37683397-39416158.m298.3_37939843-38016014.VMV1
18:38016077-38319749	.37683397-39416158.m298.4_38016077-38319749.VMV1
18:38219791-38566182	.37683397-39416158.m298.4_38219791-38566182.VMV1
18:38566343-38657692	.37683397-39416158.m298.5_38566239-38657736.VMV1
18:38657781-38768021	.37683397-39416158.m298.6_38657736-38768073.VMV1
18:38768137-38846336	.37683397-39416158.m298.7_38768073-38846378.VMV1
18:38846404-39162206	.37683397-39416158.m298.7_38846404-39162206.VMV1
18:39051450-39416100	.37683397-39416158.m298.7_39051450-39416100.VMV1
18:3769387-3892903	.3769288-3892923.vcf.VMV1
18:3891139-4042799	.3891118-4043001.vcf.VMV1
18:39415038-39466994	.39415020-39467091.vcf.VMV1
18:39465831-39892597	.39465826-40472001.m302.1_39465831-39892622.VMV1
18:39892648-40207049	.39465826-40472001.m302.2_39892648-40207049.VMV1
18:40108163-40323567	.39465826-40472001.m302.2_40108163-40323567.VMV1
18:40323764-40471919	.39465826-40472001.m302.2_40323630-40471919.VMV1
18:4032790-4206000	.4032788-4206052.vcf.VMV1
18:40471685-40781333	.40471590-41155702.m304.1_40471685-40781333.VMV1
18:40686593-40990668	.40471590-41155702.m304.1_40686593-40990668.VMV1
18:40990724-41155681	.40471590-41155702.m304.2_40990688-41155681.VMV1
18:41153768-41414696	.41153599-42607347.m306.1_41153768-41414723.VMV1
18:41414848-41750562	.41153599-42607347.m306.3_41414848-41750562.VMV1
18:41633033-41967656	.41153599-42607347.m306.3_41633033-41967656.VMV1
18:41967788-42301393	.41153599-42607347.m306.4_41967740-42301397.VMV1
18:42301592-42607245	.41153599-42607347.m306.5_42301397-42607245.VMV1
18:4204257-4249047	.4204212-4249206.vcf.VMV1
18:4247960-4343452	.4247896-4343608.vcf.VMV1
18:42606422-42627321	.42606414-42627338.vcf.VMV1
18:42625338-42973922	.42625247-42974036.vcf.VMV1
18:42972060-43233350	.42972059-43889288.m312.1_42972060-43233370.VMV1
18:43233400-43302488	.42972059-43889288.m312.2_43233370-43302515.VMV1
18:43302557-43557625	.42972059-43889288.m312.3_43302515-43557701.VMV1
18:43557772-43889263	.42972059-43889288.m312.3_43557701-43889263.VMV1
18:4341723-4383712	.4341691-4383825.vcf.VMV1
18:4381397-4447078	.4381396-4447115.vcf.VMV1
18:43882697-43942785	.43882674-43942788.vcf.VMV1
18:43940673-43964800	.43940410-43964869.vcf.VMV1
18:43962568-44009715	.43962450-44009779.vcf.VMV1
18:44008683-44300109	.44008610-44300145.vcf.VMV1
18:44299373-44659562	.44299298-45122998.m322.1_44299373-44659562.VMV1
18:44531185-44940291	.44299298-45122998.m322.1_44531185-44940291.VMV1
18:44940311-45122680	.44299298-45122998.m322.1_44940299-45122680.VMV1
18:4443778-4491417	.4443771-4491484.vcf.VMV1
18:4490800-4518925	.4490793-4519012.vcf.VMV1
18:45121422-45484048	.45121393-45484457.vcf.VMV1
18:4518057-4604627	.4518021-4604731.vcf.VMV1
18:45482045-45549898	.45481977-45549911.vcf.VMV1
18:45548696-45614597	.45548677-45614783.vcf.VMV1
18:45613517-45753665	.45613492-45753703.vcf.VMV1
18:45753571-45819374	.45753444-45819384.vcf.VMV1
18:45818846-45944681	.45818837-46257251.m334.1_45818846-45944704.VMV1
18:45944804-46257243	.45818837-46257251.m334.2_45944704-46257243.VMV1
18:4602472-4771312	.4602451-4771420.vcf.VMV1
18:46255365-46359419	.46255287-47967302.m336.1_46255365-46359576.VMV1
18:46359685-46447188	.46255287-47967302.m336.2_46359576-46447215.VMV1
18:46447239-46550544	.46255287-47967302.m336.3_46447215-46550666.VMV1
18:46550676-46910496	.46255287-47967302.m336.4_46550676-46910496.VMV1
18:46794738-47054530	.46255287-47967302.m336.4_46794738-47054530.VMV1
18:47054592-47155386	.46255287-47967302.m336.5_47054533-47155425.VMV1
18:47155429-47182925	.46255287-47967302.m336.6_47155425-47182925.VMV1
18:47182925-47534408	.46255287-47967302.m336.7_47182925-47534436.VMV1
18:47534520-47819115	.46255287-47967302.m336.8_47534436-47819131.VMV1
18:47819190-47967289	.46255287-47967302.m336.8_47819131-47967289.VMV1
18:4769229-4926775	.4769199-4926823.vcf.VMV1
18:47967247-48243838	.47967206-48243874.vcf.VMV1
18:48231594-48329318	.48231504-48329360.vcf.VMV1
18:48328757-48359612	.48328578-48359643.vcf.VMV1
18:48357936-48385090	.48357924-48385259.vcf.VMV1
18:48384394-48788446	.48384104-48788455.vcf.VMV1
18:48786791-49015010	.48786699-49015027.vcf.VMV1
18:49013076-49132628	.49013032-49132679.vcf.VMV1
18:49130821-49477485	.49130626-49792190.m352.1_49130821-49477617.VMV1
18:49477628-49792185	.49130626-49792190.m352.1_49477617-49792185.VMV1
18:4925695-5082557	.4925545-5082563.vcf.VMV1
18:494822-549331	.494705-549332.vcf.VMV1
18:49790336-49942930	.49790320-51063804.m354.1_49790336-49942964.VMV1
18:49943084-50152540	.49790320-51063804.m354.3_49942964-50152595.VMV1
18:50152650-50400941	.49790320-51063804.m354.3_50152650-50400941.VMV1
18:50324289-50685217	.49790320-51063804.m354.3_50324289-50685217.VMV1
18:50584635-50994505	.49790320-51063804.m354.3_50584635-50994505.VMV1
18:50886868-51063768	.49790320-51063804.m354.3_50886868-51063768.VMV1
18:5081605-5201442	.5081591-5201469.vcf.VMV1
18:51063077-51186229	.51063000-51186364.vcf.VMV1
18:51185144-51460235	.51184953-52716275.m358.1_51185144-51460235.VMV1
18:51373113-51767941	.51184953-52716275.m358.1_51373113-51767941.VMV1
18:51655190-52254651	.51184953-52716275.m358.1_51655190-52254651.VMV1
18:51985123-52518979	.51184953-52716275.m358.1_51985123-52518979.VMV1
18:52519062-52716176	.51184953-52716275.m358.1_52519027-52716176.VMV1
18:5198710-5322375	.5198685-5322391.vcf.VMV1
18:52714953-52828472	.52714874-53766972.m360.1_52714953-52828489.VMV1
18:52828557-53144112	.52714874-53766972.m360.2_52828489-53144172.VMV1
18:53144204-53169125	.52714874-53766972.m360.3_53144172-53169222.VMV1
18:53169278-53618636	.52714874-53766972.m360.3_53169278-53618636.VMV1
18:53472765-53766792	.52714874-53766972.m360.3_53472765-53766792.VMV1
18:5307342-5351267	.5306828-5351281.vcf.VMV1
18:5349150-5366459	.5349139-5366529.vcf.VMV1
18:5364346-5573345	.5364314-5573377.vcf.VMV1
18:53764915-53906845	.53764884-53906926.vcf.VMV1
18:53905705-54246712	.53905623-54246722.vcf.VMV1
18:54245002-54590221	.54244932-55117767.m366.1_54245002-54590221.VMV1
18:54480917-54763870	.54244932-55117767.m366.1_54480917-54763870.VMV1
18:54763914-55117685	.54244932-55117767.m366.2_54763871-55117685.VMV1
18:547640-630050	.547486-630146.vcf.VMV1
18:55111739-55216465	.55111736-55216634.vcf.VMV1
18:55212789-55440666	.55212687-55440683.vcf.VMV1
18:55439907-55446897	.55439764-55446903.vcf.VMV1
18:55442248-55462326	.55442247-55462341.vcf.VMV1
18:55461428-55782772	.55461354-55782852.vcf.VMV1
18:5561007-5892648	.5560994-5892833.vcf.VMV1
18:55781716-55810813	.55781697-55810844.vcf.VMV1
18:55810252-55851424	.55810235-55851520.vcf.VMV1
18:55847101-56154980	.55847090-56845084.m382.1_55847101-56155050.VMV1
